nomor_memo_dinas,bulan_masuk,tahun_masuk,tgl_memo,tgl_upload,nomor_permohonan,nama_pemohon,nama_alat_perangkat,merk_model_type,merk,negara_pembuat,keterangan
1305/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-10,2010-08-11,1230,PT. Star Global Indonesia,Antenna,Aomyx / XXGP65-16/18-TO-10/0-8,Aomyx,Thailand, 
1306/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-10,2010-08-11,1231,PT. Star Global Indonesia,BTS Antenna,AOMYX / XPU65-18-TV,Aomyx,Thailand, 
1307/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-10,2010-08-11,1233,"Metrotech Jaya Komunika Indonesia, PT.",Telepon Selular,NEXIAN / NX-G867,NEXIAN,China, 
1308/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-10,2010-08-11,1234,CV. Catur Utama,Telepon Selular,Comfort / C811,COMFORT,China, 
1309/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-10,2010-08-11,1236,"Axindo Infotama, PT.",Telepon Selular,MOVI / M318,MOVI,China, 
1310/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-10,2010-08-11,1237,"Axindo Infotama, PT.",Telepon Selular,Movi / M-218,MOVI,China, 
1311/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-10,2010-08-11,1276,"Huawei Tech Investment, PT.",BTS Antenna,KATHREIN / 80010217,Kathrein,Germany, 
1312/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-10,2010-08-11,1266,PT. Haier Telecom Indonesia,Telepon Selular,Olive / G8100 (900/1800 MHz),OLIVE,China, 
1313/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1179,"Gajah Mandala Jaya, PT.",Two Way Radio,TAIT / TP8140 IS (350-400 MHz),TAIT,New Zealand, 
1314/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1222,GN Netcom A/S,Bluetooth Dongle,Jabra / END001W,Jabra,China, 
1315/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1223,GN Netcom A/S,Bluetooth Headset,Jabra / Headset,Jabra,China, 
1316/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1224,"Huawei Tech Investment, PT.",Modem Selular,Huawei / HSDPA USB Stick / E177,HUAWEI,China, 
1317/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1226,"Huawei Tech Investment, PT.",Telepon Selular,HUAWEI / C2829,HUAWEI,China, 
1318/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1227,"Huawei Tech Investment, PT.",Modem Selular,HUAWEI / CDMA USB Stick / EC150,HUAWEI,China, 
1319/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1228,"Huawei Tech Investment, PT.",Telepon Selular,HUAWEI / C2828,HUAWEI,China, 
1320/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1238,PT. Meghantara Multimedia Solusindo,Telepon Selular,ViTELL / V722,ViTELL,China, 
1321/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1239,PT. Meghantara Multimedia Solusindo,Telepon Selular,ViTELL / V706,ViTELL,China, 
1322/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1241,PT. Motorola Indonesia,Telepon Selular,Motorola / Motorola EX115,Motorola,China, 
1323/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1268,"Huawei Tech Investment, PT.",Telepon Selular,HUAWEI / C5120,HUAWEI,China, 
1324/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-11,2010-08-11,1240,"Samsung Electronics Indonesia, PT.",SET TOP BOX,SAMSUNG / SMT-C1050,SAMSUNG,Indonesia, 
1325/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,965,PT. Monvini Jaya,Modem Satelit,iDirect / Evolution X3,iDirect,United States, 
1326/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1150,PT. Ampnet Mega Pacific,Wireless Router,BELKIN / SHARE WIRELESS ROUTER/F7D3302,BELKIN,China, 
1327/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1178,"Gajah Mandala Jaya, PT.",Two Way Radio,TAIT / TP8140 IS (806-870 MHz),TAIT,New Zealand, 
1328/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1180,"Gajah Mandala Jaya, PT.",Two Way Radio,TAIT / TM8255 (762-870 MHz),TAIT,New Zealand, 
1329/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1181,"Gajah Mandala Jaya, PT.",Repeater/Base Station,TAIT / TB8100 (380-420 MHz),TAIT,New Zealand, 
1330/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1182,PT. Central Cipta Kemakmuran,Wireless N Router,"TP-LINK / 3G/3,75G Wireless N Router / TL-MR3420",TP-LINK,China, 
1331/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1186,PT. Ampnet Mega Pacific,Wireless Router,BELKIN / SURF WIRELESS MODEM ROUTER/F7D2401,BELKIN,China, 
1332/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1198,"Transtel Universal, PT.",Digital Satellite Receiver,Ericsson / RX-8200,ERICSSON,United Kingdom, 
1333/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1208,PT. First Media Tbk,Digital Cable Set Top Box,ADB (Advanced Digital Broadcast) / 2840C,ADB (Advanced Digital Broadcast),China, 
1334/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1245,PT. Raztel Solusindo Telematika,Telepon Selular,RAZTEL / M890 (GSM900/1800 MHz),RAZTEL,China, 
1335/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1259,PT. Mikro Teknologi Indonesia,Telepon Selular,TAXCO / VX12,TAXCO,China, 
1336/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1254,PT. Pusara Indo Prima,Telepon Selular,RedBerry / RedBerry 8520,RedBerry,China, 
1337/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1255,PT. Megasindo Pratama,Telepon Selular,G PLUS / G+ 188,G PLUS,China, 
1338/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1256,PT. Bahagia Gemilang Mandiri,Telepon Selular,Neofone / NF 8800,Neofone,China, 
1339/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1262,"Damai Sejati, PT.",Pesawat Telepon Analog,Panasonic / Single Line Telephone / KX-TS880ND,Panasonic,Malaysia, 
1340/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1263,PT. Radio Suara Banten Perkasa,Pemancar Radio Siaran FM,JUPITER / JPE 300,Jupiter,Italy, 
1341/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1264,"DASICA, PT.",Remote Keyless Entry,HERUTU / Pokayoke Transmitter Receiver / TWF-600T/TWF-066R,HERUTU,Japan, 
1342/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1267,"Huawei Tech Investment, PT.",Telepon Selular,HUAWEI / C6000,HUAWEI,China, 
1343/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1270,"MLW Telecom, PT.",Modem Selular,BANDLUXE / C331/USB,BANDLUXE,Taiwan, 
1344/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1288,"Astra Graphia, Tbk., PT.",Printer Multifungsi,XEROX / WORKCENTER 4250,XEROX,"Korea, Republic of", 
1345/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1294,"Modern International Tbk., PT.",Modul Faximili Option,RICOH / Aficio MP 3351,RICOH,Japan, 
1346/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1295,"Modern International Tbk., PT.",Modul Faximili Option,RICOH / Aficio MP 5001,RICOH,Japan, 
1347/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-13,2010-08-16,1302,"Newel Rubbermaid, Inc.","2,4 GHz Wireless Module",DYMO / MWM01,DYMO,China, 
1348/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,996,"Sog Indonesia, PT.",Satellite Terminal,WEDEYE / Seagull 5000,WEDEYE,Malaysia, 
1349/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,1148,PT. Ampnet Mega Pacific,Wireless Router,BELKIN / BASIC WIRELESS ROUTER/F7D1301,BELKIN,China, 
1350/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,1149,PT. Ampnet Mega Pacific,Wireless Router,BELKIN / SURF WIRELESS ROUTER/F7D2301,BELKIN,China, 
1351/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,1153,PT. Ampnet Mega Pacific,Wireless Router,BELKIN / BASIC WIRELESS MODEM ROUTER/F7D1401,BELKIN,China, 
1352/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,1183,PT. Sinar Mentari Era Jaya,Wireless N Router,"TP-LINK / 3G/3,75G Wireless N Router / TL-MR3420",TP-LINK,China, 
1353/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,1097,PT. Televisi Anak Surabaya,Antenna,SIRA / UTV-01/24H,SIRA,Italy, 
1354/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,1098,PT. Televisi Anak Surabaya,PEMANCAR TV SIARAN,ELECTROSYS (ITELCO) / T647KA40KWUHF10T TX,ELECTROSYS (ITELCO),Italy, 
1355/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,1225,"Huawei Tech Investment, PT.",Modem Selular,Huawei / HSDPA USB Stick / E153,HUAWEI,China, 
1356/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,1297,PT. Senegor Televisi Flobamora,PEMANCAR TV SIARAN,DB BROADCAST / ETVM01/DV,DB Broadcast,Italy, 
1357/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,1318,"Apple South Pte, Ltd.",Bluetooth,Apple / Magic TrackPad / A1339,Apple,China, 
1358/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-16,2010-08-18,1229,"Centralink Sentosa, PT.",Microwave Antenna,"Xian Putian / WTG03/06/09/12/18/20/24/25/30/32-107D/S (10,70-11,70 GHz)",Xian Putian,China, 
1359/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,884,"Hewlett-Packard Indonesia, PT.",T1/E1/J1 PCI Interface Card,hp / RSVLC-1002A,hp,Canada, 
1360/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,885,"Hewlett-Packard Indonesia, PT.",T1/E1/J1 PCI Interface Card,hp / RSVLC-1002C,hp,Canada, 
1361/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,886,"Hewlett-Packard Indonesia, PT.",T1/E1/J1 PCI Interface Card,hp / RSVLC-1002B,hp,Canada, 
1362/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1157,"Tiphone Mobile Indonesia, PT.",Telepon Selular,TI-Phone / T55 (GSM 900/DCS 1800 MHz),Ti-Phone,China, 
1363/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1170,"Tiphone Mobile Indonesia, PT.",Telepon Selular,TIPHONE / A88,Ti-Phone,China, 
1364/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1197,PT. Mikro Teknologi Indonesia,Telepon Selular,TAXCO / M1,TAXCO,China, 
1365/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1247,PT. Alcatel-Lucent Indonesia,Antenna,"RADIO FREQUENCY SYSTEM (RFS) / SINGLE POLARIZED 14,2-15,35GHz 2ft",Radio Frequency System (RFS),France, 
1366/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1248,PT. Alcatel-Lucent Indonesia,Antenna,"RADIO FREQUENCY SYSTEM (RFS) / SINGLE POLARIZED 7,125-8,5GHz 2ft",Radio Frequency System (RFS),France, 
1367/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1249,PT. Alcatel-Lucent Indonesia,Antenna,"RADIO FREQUENCY SYSTEM (RFS) / SINGLE POLARIZED 14,2-15,35GHz 1ft",Radio Frequency System (RFS),France, 
1368/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1250,PT. Alcatel-Lucent Indonesia,Antenna,"Radio Frequency System (RFS) / Single Polarized, 12ft 7,125-8,5 GHz",Radio Frequency System (RFS),France, 
1369/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1252,"Hewlett-Packard Indonesia, PT.",Wireless Router,H3C / MSR 900 Multi-Service Router,H3C,China, 
1370/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1253,"Hewlett-Packard Indonesia, PT.",Wireless Router,H3C / MSR 920 Multi-Service Router,H3C,China, 
1371/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1257,"Selular Media Infotama, PT.",Telepon Selular,HTC / HTC ARIA A6380,hTC,Taiwan, 
1372/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1265,"Aries Indo Global, PT.",Telepon Selular,CROSS / CB 90B,CROSS,China, 
1373/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1314,Continental Automotive GmbH,Vehicle Immobilizer System,Continental / A2C53409287/A2C53409480,Continental,Germany, 
1374/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1321,PT. Weco Indonesia,Cable Modem,ACI / EURO DOCSIS / CM2100/CM2100-U (EU),ACI,Taiwan, 
1375/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-19,2010-08-19,1343,PT. Mark Empat Indonesia,Radio Microwave PDH,COMBA / ML-EC-FOU 034M-03H1RN00SL025/065 (15GHz),Comba,Hongkong, 
1376/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-20,2010-08-23,1154,PT. Ampnet Mega Pacific,Wireless Router,BELKIN / SHARE MODEM WIRELESS ROUTER/F7D3402,BELKIN,China, 
1377/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-20,2010-08-23,1171,PT. Segara Jaya,GPS (Global Positioning System),GPS TRACKER / 102,GPS TRACKER,China, 
1378/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,909,"SMARTWEB INDONESIA KREASI, PT.",MESIN EDC (ELECTRONIC DATA CAPTURE),Ingenico / EFT30G/GPRS,Ingenico,Vietnam, 
1379/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,745,PT. Pusara Indo Prima,Telepon Selular,REDBERRY / 8620,RedBerry,China, 
1380/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1085,PT. Tetap Jaya,Telepon Selular,NEXT-G / 878,NEXT-G,China, 
1381/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1155,Motorola INC.,Bluetooth Cradle,Motorola / Symbol / CR0078,Motorola,Mexico, 
1382/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1246,PT. Alcatel-Lucent Indonesia,Antenna,"RADIO FREQUENCY SYSTEM (RFS) / SINGLE POLARIZED 7,125-8,5GHz 4ft",Radio Frequency System (RFS),France, 
1383/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1271,"MLW Telecom, PT.",Wireless Router,SPEEDUP / Travel Broadband Router / SU-8820TBR,SPEEDUP,Taiwan, 
1384/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1273,PT. Sistech Kharisma,Telepon Selular,hTC / Wildfire A3333,hTC,Taiwan, 
1385/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1275,"LG Electronics Indonesia, PT.",Telepon Selular,LG / C305,LG,China, 
1386/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1279,"Damai Sejati, PT.",IP Phone,Panasonic / IP Proprietary Telephone / KX-NT366X,Panasonic,Vietnam, 
1387/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1280,"Damai Sejati, PT.",IP Phone,Panasonic / IP Proprietary Telephone / KX-NT343X,Panasonic,Vietnam, 
1388/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1282,"Damai Sejati, PT.",IP Phone,Panasonic / IP Proprietary Telephone / KX-NT346X,Panasonic,Vietnam, 
1389/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1284,PT. Megasindo Pratama,Telepon Selular,TIGER / KF 339,TIGER,China, 
1390/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1285,PT. Transindo Infotek,IP Phone,Transtel / IP37-31,TRANSTEL,Taiwan, 
1391/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1286,"Aries Indo Global, PT.",Telepon Selular,CROSS / GG 53C (Dual Sim),CROSS,China, 
1392/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1287,"Aries Indo Global, PT.",Telepon Selular,CROSS / CB 98,CROSS,China, 
1393/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1292,PT. Lasindo Sakti Indonesia,Telepon Selular,KONKA / WM7,KONKA,China, 
1394/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1293,"Metrotech Jaya Komunika Indonesia, PT.",Telepon Selular,NEXIAN / NX-271D,NEXIAN,China, 
1395/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1304,"Puri Mandiri Sejahtera, PT.",Wireless Modem,"FULL SPEED / FULL SPEED 8920, CDMA 1x 3,5G EVDO Rev.2",FULL SPEED,China, 
1396/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1328,"Julizt Pilar Kencana, PT.",Bluetooth,Plantronics / Back Beat 903,Plantronics,China, 
1397/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1329,"Julizt Pilar Kencana, PT.",Bluetooth,Plantronics / Discovery 975,Plantronics,China, 
1398/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1348,"Hewlett-Packard Indonesia, PT.",PESAWAT DAYA RENDAH,hp / HP Wireless Keyboard / KBRF28711,hp,China, 
1399/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1350,"Hewlett-Packard Indonesia, PT.",FAXIMILI,hp / Fax Printer / HP Printer Fax Module / BOISB-0906-04,hp,China, 
1400/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,959,PT. Skybee,Telepon Selular,IONA / PENGUIN (GSM/GSM 900/1800),IONA,China, 
1401/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,997,"Maju Express Indonesia, PT.",Telepon Selular,MITO / 305 (Dual GSM 900/1800 MHz),Mito,China, 
1402/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1307,PT. Nagamas Kreasi Mandiri,Telepon Selular,K-Fone / KF311 (GSM 900/1800 MHz),K-fone,China, 
1403/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1309,"Metrotech Jaya Komunika Indonesia, PT.",Telepon Selular,NEXIAN / NX-G509,NEXIAN,China, 
1404/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-27,1310,PT. Cakrawala Visitama Owenindo,Telepon Selular,3BERRY / CAV-789,3BERRY,China, 
1405/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1312,"Tiphone Mobile Indonesia, PT.",Telepon Selular,TIPHONE / T56,Ti-Phone,China, 
1406/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1313,PT. Jasnita Telekomindo,Vehicle Tracking System,Digi / m-Trak 275,Digi,India, 
1407/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1315,PT. Sarindo Nusa Pratama,Telepon Selular,D-One / DG598,D-ONE,China, 
1408/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1316,PT. Fpx Indonesia,Telepon Selular,eTouch / 602 Pro,eTouch,China, 
1409/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1317,"Maju Express Indonesia, PT.",Telepon Selular,MITO / 302TV,Mito,China, 
1410/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1325,"BALI INDO COMMUNICATION, PT.",Telepon Selular,X com / x-777 (GSM 900/1800 MHz),X COM,China, 
1411/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1327,"BALI INDO COMMUNICATION, PT.",Telepon Selular,NEXTEL / NX-71,NEXTEL,China, 
1412/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1330,PT. Multi Karya Sukses,Telepon Selular,ELZIO / MINI-V,ELZIO,China, 
1413/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-23,2010-08-26,1331,PT. Sianyu Perkasa Mandiri,Telepon Selular,BOLD / EXE 101,BOLD,China, 
1414/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-24,2010-08-26,1274,PT. Sistech Kharisma,Telepon Selular,hp / HP Wireless Dongle / KBRF28711-D,hp,China, 
1415/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-24,2010-08-26,1251,"Anugrah, CV.",Handy Talky,OLINCA / TH-9 (VHF 136-174 MHz),OLINCA,China, 
1416/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-24,2010-08-26,1349,"Hewlett-Packard Indonesia, PT.",PESAWAT DAYA RENDAH,hTC / PDA Phone / Aria A6380,hTC,Taiwan, 
1417/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-24,2010-08-26,1269,"Huawei Tech Investment, PT.",Modem Selular,HUAWEI / CDMA USB Stick / EC5805,HUAWEI,China, 
1418/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-24,2010-08-26,1296,"Cakrawala Multi Komunikasi Pusat Jakarta, PT.",Two Way Radio,"FIRSTCOM / Mobile Radio Transceiver / FR-188, Freq. 136-174 MHz",FIRSTCOM,China, 
1419/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-24,2010-08-26,1300,"Toyota Motor Manufacturing Indonesia, PT.",Bluetooth Handfree Set,TOYOTA / PZ073-OK001,TOYOTA,Thailand, 
1420/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,505,PT. Madya Utama Expresindo,Telepon Selular,GVON / 899,GVON,China, 
1421/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,866,PT. Motorola Indonesia,Telepon Selular,Motorola / Blackflip MB300 Quad Band & UMTS,Motorola,China, 
1422/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,914,PT. Bejana Nusa Agung,Telepon Selular,IT MOBILE / IB 668,IT MOBILE,China, 
1423/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1000,PT. Motorola Indonesia,Telepon Selular,MOTOROLA / QUENCH MB501 QUAD BAND,Motorola,China, 
1424/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1160,"Aries Indo Global, PT.",Modem Selular,Advan / DT8-SQ,ADVAN,China, 
1425/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1187,PT. Multimedia Nusantara,Tracking System,Trakalok / Trakalok-02,Trakalok,United Kingdom, 
1426/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1232,PT. Radio Geovanni Mart,Pemancar Radio Siaran,SUN-FM / FM STEREO EXCITER/SUN-FM 30W,SUN-FM,Indonesia, 
1427/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1244,PT. Motorola Indonesia,Telepon Selular,Motorola / Motorola CHARM MB502,Motorola,China, 
1428/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1306,"Puri Mandiri Sejahtera, PT.",Wireless Modem,"I CLICK / I CLICK 9310, 3,5G HSDPA USB Stick and Drive",I CLICK,China, 
1429/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1326,"BALI INDO COMMUNICATION, PT.",Telepon Selular,X com / x-007 (GSM 900/1800 MHz),X COM,China, 
1430/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1332,PT. Sianyu Perkasa Mandiri,Telepon Selular,BOLD / L1,BOLD,China, 
1431/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1333,PT. Sianyu Perkasa Mandiri,Telepon Selular,BOLD / EXE 228,BOLD,China, 
1432/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1334,PT. Sianyu Perkasa Mandiri,Telepon Selular,BOLD / SL1,BOLD,China, 
1433/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1335,PT. Sianyu Perkasa Mandiri,Telepon Selular,BLACKBERRY 8520 / SMARTPHONE WIRELESS HANDHELD/ RCG41GW,BLACKBERRY 8520,Hungary, 
1434/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1336,PT. Sianyu Perkasa Mandiri,Telepon Selular,BLACKBERRY 9700 / SMARTPHONE WIRELESS HANDHELD/ RCM71UW,BLACKBERRY 9700,Mexico, 
1435/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1338,PT. Skybee,Telepon Selular,Skybee / H171 (GSM/GSM 900/1800 MHz),SKYBEE,China, 
1436/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1344,Avery Dennison Retail Information Services LLC,WLAN,Monarch / 9906,MONARCH,United States, 
1437/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1345,PT. Skybee,Telepon Selular,Skybee / M37L (GSM/GSM 900/1800 MHz),SKYBEE,China, 
1438/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1351,PT. Subur Semesta,Modem Selular,LTC / WM 78,LTC,China, 
1439/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1352,PT. Subur Semesta,Modem Selular,ZTE / MF100,ZTE,China, 
1440/SPRHU/BBPPT/VIII/2010,Agustus,2010,2010-08-25,2010-08-27,1365,PT. Dynatama Internusa,Telepon Selular,TITAN / Q59/GSM-GSM/Dual Band 900/1800 MHz,TITAN,China, 
