no,nomor_memo_dinas,tgl_memo,tgl_upload,nomor_permohonan,nama_pemohon,nama_alat_perangkat,merk_model_type,negara_pembuat,keterangan
68,519/BBPPT/IV/09,2009-04-06,2009-04-08,475,PT. Huawei Tech Investment,CDMA Mobile Handset,HUAWEI / C2609,China,
69,520/BBPPT/IV/09,2009-04-06,2009-04-08,477,PT. Teletama Artha Mandiri,Handphone,Samsung / Samsung GSM Type E1070M (GSM900/1800 MHz),China,
70,521/BBPPT/IV/09,2009-04-06,2009-04-08,478,PT. Teletama Artha Mandiri,Handphone,Samsung / Samsung GSM Type E1100T(GSM 900/1800 Mhz),China,
71,522/BBPPT/IV/09,2009-04-06,2009-04-08,510,PT. Metrotech Jaya Komunika,CDMA Mobile Phone,NEXIAN / NX FP-379,China,
72,523/BBPPT/IV/09,2009-04-06,2009-04-08,529,PT. Metrotech Jaya Komunika,CDMA 2000 1X Fixed Wireless Telepone,NEXIAN / NX-150 (800 MHz),China,
73,524/BBPPT/IV/09,2009-04-06,2009-04-08,530,PT. Metrotech Jaya Komunika,Dual GSM Mobile Phone,NEXIAN / NX-G700 (900/1800 MHz),China,
74,525/BBPPT/IV/09,2009-04-06,2009-04-08,531,PT. Metrotech Jaya Komunika,Dual GSM Mobile Phone,NEXIAN / NX-G800 (900/1800 MHz),China,
75,526/BBPPT/IV/09,2009-04-06,2009-04-08,379,PT. Dataglobal Komukatama,Router,Allied Telesis / AT-AR415S,China,
76,527/BBPPT/IV/09,2009-04-06,2009-04-08,434,Qualcomm Incorporated,CDMA/HSDPA/GPRS mPCIe Card,Qualcomm / Gobi2000,China,
77,528/BBPPT/IV/09,2009-04-06,2009-04-08,445,PT. Aneka Sakti Bakti (PT. ASABA),Multifunction Printer,Brother / MFC-490CW,China,
78,529/BBPPT/IV/09,2009-04-06,2009-04-08,509,PT. Metrotech Jaya Komunika,Dual GSM Mobile Phone,NEXIAN / NX-G900 (900/1800 MHz),China,
79,530/BBPPT/IV/09,2009-04-07,2009-04-14,479,PT. Samsung Electronics Indonesia,Handphone,Samsung / Samsung GSM Type S3600 (GSM850/900/1800/1900 MHz),China,
80,531/BBPPT/IV/09,2009-04-07,2009-04-14,482,PT. Samsung Electronics Indonesia,Handphone,Samsung / Samsung GSM Type C5212 (GSM900/1800 MHz),China,
81,532/BBPPT/IV/09,2009-04-07,2009-04-14,483,PT. Samsung Electronics Indonesia,Handphone,Samsung / Samsung GSM Type E1210S (GSM900/1800 MHz),China,
82,533/BBPPT/IV/09,2009-04-07,2009-04-14,489,PT. Naga Mas Kreasi Mandiri,CELLULAR PHONE GSM 900/1800,K-TOUCH / V310,China,
83,534/BBPPT/IV/09,2009-04-07,2009-04-14,490,PT. Naga Mas Kreasi Mandiri,CELLULAR PHONE,K-TOUCH / A665 9GSM 900/1800 MHz),China,
84,535/BBPPT/IV/09,2009-04-07,2009-04-14,500,PT. Konten Indomedia Pratama,Mobile Phone Dual SIM,IMO / L600 (GSM900/1800 MHZ),China,
85,536/BBPPT/IV/09,2009-04-07,2009-04-14,351,Askey Computer Corporation,Bluetooth 2.1 + EDR Module,Askey / BTU1030,Taiwan,
86,537/BBPPT/IV/09,2009-04-07,2009-04-14,375,PT. iForte Solusi Infotek,Modem VSAT,Skyedge / Skyedge II Access,Netherlands,
87,538/BBPPT/IV/09,2009-04-07,2009-04-14,377,PT. Dataglobal Komukatama,Router,Allied Telesis / AT-AR770S,China,
88,539/BBPPT/IV/09,2009-04-07,2009-04-14,378,PT. Dataglobal Komukatama,Router,Allied Telesis / AT-AR750S,China,
89,540/BBPPT/IV/09,2009-04-07,2009-04-14,150,PT. Procell Indonesia,Telepon Selular GSM-GSM,Beyond / B 638 (SL-79),China,
90,541/BBPPT/IV/09,2009-04-07,2009-04-14,494,PT. Oaktech Nusantara,Explosion-proof Mobile Phone,Ecom / Ex-Handy 05,Germany,
91,542/BBPPT/IV/09,2009-04-07,2009-04-14,501,PT. Konten Indomedia Pratama,Mobile Phone Dual SIM,IMO / GS389 (GSM900/1800 MHZ),China,
92,543/BBPPT/IV/09,2009-04-14,2009-04-16,2141(2008),PT. Galindra Multi Cipta,Single Line Telephone,LG-NORTEL / GS-486 CE L,Thailand,
93,544/BBPPT/IV/09,2009-04-14,2009-04-16,231,PT. Nera Indonesia,Mesin EDC,VeriFone / Vx610,China,
94,545/BBPPT/IV/09,2009-04-14,2009-04-16,384,PT. iForte Solusi Infotek,BUC,Gilat / BUC Transmitter C 4W,Netherlands,
95,546/BBPPT/IV/09,2009-04-14,2009-04-16,389,PT. Elce Imexindo Bersatu,CONFERENCE PHONE,KONFTEL / KONFTEL 300,SWEDEN,
96,547/BBPPT/IV/09,2009-04-14,2009-04-16,411,PT. MNC SKY VISION,750W Compact Medium Power Amplifier,CPI / VZU6997AD,Canada,
97,548/BBPPT/IV/09,2009-04-14,2009-04-16,476,PT. Damai Sejati,Color Laser Multi Function Printer,PANASONIC / KX-MC6260CX,Malaysia,
98,549/BBPPT/IV/09,2009-04-14,2009-04-16,504,PT. Samafitro,Faksimili,CANON / JX210P,Thailand,
99,550/BBPPT/IV/09,2009-04-14,2009-04-16,505,PT. Samafitro,Faksimili,CANON / JX510P,Thailand,
100,551/BBPPT/IV/09,2009-04-14,2009-04-16,516,PT. Suksesindo Bumi Citra,Handphone,Nexgen / X-77,China,
101,552/BBPPT/IV/09,2009-04-14,2009-04-16,517,PT. Sinar Jaya Sukses Mandiri,Handphone GSM and GSM,HT Mobile / M10 (GSM900/1800 MHz),China,
102,553/BBPPT/IV/09,2009-04-14,2009-04-16,520,"PT. Maju Express Indonesia,",Ponsel Dual GSM 900/1800 MHz,MITO / 838,China,
103,554/BBPPT/IV/09,2009-04-14,2009-04-16,525,PT. Nokia Indonesia,Telepon Selular,NOKIA / 6700c-1 / RM-470 (GSM850/900/1800/1900 WCDMA900/1900/2100),China,
104,555/BBPPT/IV/09,2009-04-14,2009-04-16,526,PT. Nokia Indonesia,Telepon Selular,NOKIA / 6720c / RM-424(GSM850/900/1800/1900 WCDMA900/1900/2100),China,
105,556/BBPPT/IV/09,2009-04-14,2009-04-16,527,PT. Laju Artha Pratama,Handphone Dual GSM TV Phone,VIRTUV / T288,China,
106,557/BBPPT/IV/09,2009-04-14,2009-04-16,539,PT. Nexco Jaya,USB Modem,D'fone / C1810,China,
107,558/BBPPT/IV/09,2009-04-14,2009-04-16,552,PT. Logika Prima Perdana,Magic Board Payment Terminal,GEMALTO / MagIC Board Type C,India,
108,559/BBPPT/IV/09,2009-04-15,2009-04-17,768(2007),PT. Nec Indonesia,TV Transmitter,NEC/PCU-1510S UHF Frek. 10kW,Jepang,
109,561/BBPPT/IV/09,2009-04-15,2009-04-17,116,PT. Radio Syaikh Abdul Wahid,Pemancar Radio Siaran FM,AIRCOM / FM Exciter,Indonesia,
110,562/BBPPT/IV/09,2009-04-15,2009-04-17,407,PT. MNC SKY VISION,Network Firewall Router,Watchguard / Firebox X550e,United States,
111,563/BBPPT/IV/09,2009-04-15,2009-04-17,409,PT. MNC SKY VISION,Dual Ku-Band Block Downconverter,Novella Satcoms / BD732,United Kingdom,
112,564/BBPPT/IV/09,2009-04-15,2009-04-17,410,PT. MNC SKY VISION,S-Band Block Downconverter,Novella Satcoms / BD430,United Kingdom,
113,565/BBPPT/IV/09,2009-04-15,2009-04-17,415,PT. MNC SKY VISION,Network Router,Cisco System / Cisco 2811,United States,
114,566/BBPPT/IV/09,2009-04-15,2009-04-17,454,PT. Sinar Mentari Era Jaya,54M Wireless ADSL+ Router,TP-LINK / TD-W8101G,China,
115,567/BBPPT/IV/09,2009-04-15,2009-04-17,485,PT. Datamation Purwana Utama,External Wireless Printer,Hewlatt-Packard / HP Jetdirect ew2400,Singapore,
116,568/BBPPT/IV/09,2009-04-15,2009-04-17,486,CV. Royalindo Tektama,Bluetooth,ROYAL / KV-120,China,
117,569/BBPPT/IV/09,2009-04-15,2009-04-17,515,PT. Suksesindo Bumi Citra,Handphone,Nexgen / X-5,China,
118,570/BBPPT/IV/09,2009-04-15,2009-04-17,528,PT. Laju Artha Pratama,Handphone Dual GSM TV Phone,VIRTUV / V58 Mixia,China,
119,571/BBPPT/IV/09,2009-04-15,2009-04-17,532,PT. Pusara Indo Prima,Handphone,CAVIO / CAV-10,Hong Kong,
120,572/BBPPT/IV/09,2009-04-15,2009-04-17,534,PT. Pusara Indo Prima,Handphone,D'fone / S22,Hong Kong,
121,573/BBPPT/IV/09,2009-04-15,2009-04-17,537,PT. Madya Utama Expresindo,HandPhone TV-Dualband,"GVON 880 / GVON 880, Dualband (GSM-GSM900/1800 MHz)",China,
122,574/BBPPT/IV/09,2009-04-15,2009-04-17,540,PT. Samart I-Mobile Indonesia,Handphone Dual SIM,i-Mobile / 322 (GSM900/1800/1900 MHZ),Thailand,
123,575/BBPPT/IV/09,2009-04-15,2009-04-17,412,PT. MNC SKY VISION,"LNAs 10.95-12.75 GHz, 65K",Vertex RSI / LKE 12S65,United States,
124,576/BBPPT/IV/09,2009-04-15,2009-04-17,484,PT. Central Cipta Kemakmuran,54M Wireless PCI Adapter,TP-Link / TL-WN350GD,China,
125,577/BBPPT/IV/09,2009-04-15,2009-04-17,408,PT. MNC SKY VISION,Antenna Subsystem,NWIEE / 3913GSD,China,
126,578/BBPPT/IV/09,2009-04-15,2009-04-17,414,PT. MNC SKY VISION,Telecommanded Frequency Up Converter,"Miteq / U-9956-6-1K, Freq. 13.75-14.8 GHz",United States,
127,579/BBPPT/IV/09,2009-04-15,2009-04-17,521,PT. Dynatama Internusa,Telepon Genggam,TITAN / T5656/(CDMA 800/GSM900/1800 MHz),China,
128,580/BBPPT/IV/09,2009-04-15,2009-04-17,533,PT. Pusara Indo Prima,Handphone,CAVIO / ZT-618i,Hong Kong,
129,581/BBPPT/IV/09,2009-04-15,2009-04-17,535,PT. Sinar Jaya Sukses Mandiri,Handphone GSM and GSM,HT Mobile / HT-32 (GSM900/1800/1900 MHz),China,
130,582/BBPPT/IV/09,2009-04-15,2009-04-17,536,PT. Sarindo Nusa Pratama,Handphone (GSM-CDMA),D-ONE / DM 309 (GSM 800/1800 & CDMA800 MHz),China,
131,583/BBPPT/IV/09,2009-04-15,2009-04-17,461,PT. Nokia Indonesia,AKSESORIS,NOKIA / Nokia Bluetooth Headset BH-104 (BH-104),China,
132,584/BBPPT/IV/09,2009-04-16,2009-04-20,382,PT. Radio Swara Sesanti Mandiri,Studio Transmitter Link,LCD / FM50P-LCD,Indonesia,
133,585/BBPPT/IV/09,2009-04-16,2009-04-20,413,PT. MNC SKY VISION,Telemetry Down Converter,"Miteq / D-9908-6-1K, Freq. 10.7 - 12.75 GHz",United States,
134,586/BBPPT/IV/09,2009-04-16,2009-04-20,436,PT. Sistech Kharisma,Wireless-G PCI Adapter,Linksys / WMP54G,China,
135,587/BBPPT/IV/09,2009-04-16,2009-04-20,590,"PT. Taiyo Yuden, Co., Ltd.",Complete Class2 Bluetooth Moduls,TAIYO YUDEN / EYTMECS,Japan,
136,588/BBPPT/IV/09,2009-04-16,2009-04-20,591,Logitech Far East Ltd.,2.4GHz Transceiver,Logitech / C-U0003,China,
137,589/BBPPT/IV/09,2009-04-16,2009-04-20,397,PT. Motorola Indonesia,Bluetooth,Motorola / Motorola Bluetooth Headset H 780,China,
138,590/BBPPT/IV/09,2009-04-16,2009-04-20,492,PT. Data Aksara Marta,Automatic Vehicle Locator (AVL),CarlaSystem / CarlaSystem GPS Auto Vehicle Locator,Indonesia,
139,591/BBPPT/IV/09,2009-04-16,2009-04-20,541,PT. Vagus Multi Technology,Telepon Selular GSM-GSM,Lexus / Lexus Series L81,China,
140,592/BBPPT/IV/09,2009-04-16,2009-04-20,545,Canon Inc.,Wireless LAN Module,CANON / K30316,Japan,
141,593/BBPPT/IV/09,2009-04-20,2009-04-22,425,PT. Global Trading,Two-Way VHF Radio,SARACOM / TW-50,"Korea, Republic Of",
142,594/BBPPT/IV/09,2009-04-20,2009-04-22,471,PT. Madya Utama Expresindo,HandPhone,"GSTAR 310 / GSTAR 310, Dual Band - Dual SIM (GSM-GSM 900/1800 MHz)",China,
143,595/BBPPT/IV/09,2009-04-20,2009-04-22,546,PT. Jun Elektronika Indonesia,Handphone Dual Sim Card Dual Standby,Tethin / C1000+,China,
144,596/BBPPT/IV/09,2009-04-20,2009-04-22,551,PT. Nokia Indonesia,Telepon Selular,NOKIA / 2700c-2 / RM-561(GSM850/900/1800/1900),China,
145,597/BBPPT/IV/09,2009-04-20,2009-04-22,553,PT. Golden Victory Indonesia,Telepon Seluler Dual Mode,MicXon / M78i,China,
146,598/BBPPT/IV/09,2009-04-20,2009-04-22,554,PT. Madya Utama Expresindo,Telepon Selular,"VODASTAR V 100 / VODASTAR V 100, Triband (GSM/GPRS 850/900/1800/1900 MHz)",China,
147,599/BBPPT/IV/09,2009-04-20,2009-04-22,555,PT. Sinar Jaya Sukses Mandiri,Handphone GSM and GSM,HT Mobile / M12 (GSM900/1800 MHz),China,
148,600/BBPPT/IV/09,2009-04-20,2009-04-22,564,PT. Supertone,Handphone,SPC / 2G-200T,Hong Kong,
149,601/BBPPT/IV/09,2009-04-20,2009-04-22,565,PT. Supertone,Handphone,SPC / 2G-300T,Hong Kong,
150,602/BBPPT/IV/09,2009-04-20,2009-04-22,566,PT. Dwi Utama Perkasa,Telepon Selular GSM-GSM,MAXTRON / MG 186,China,
151,603/BBPPT/IV/09,2009-04-20,2009-04-22,581,PT. Makro Sentral Perdana Enterprise,Fixed Wireless Payphone,MEDIATEL / HA6966TI(LCD)-G51,China,
152,604/BBPPT/IV/09,2009-04-20,2009-04-22,462,PT. Halilintar Lintas Semesta,Antenna Dual High Broadband Cross Polarized,Powerwave / 5721.00,United States,
153,605/BBPPT/IV/09,2009-04-20,2009-04-22,473,PT. Star Global Indonesia,Cross Polarised Single Band Antenna,Aomyx / XG90-17-T0,Thailand,
154,606/BBPPT/IV/09,2009-04-20,2009-04-22,542,PT. Metrotech Jaya Komunika,CDMA Mobile Phone,NEXIAN / NX-981,China,
155,607/BBPPT/IV/09,2009-04-20,2009-04-22,547,PT. Anta Mediakom,Antenna 13.1 meter,Vertex RSI / Cassegrain Antenna,United States,
156,608/BBPPT/IV/09,2009-04-20,2009-04-22,585,PT. Halilintar Lintas Semesta,Antenna Dual High Broadband Cross Polarized,Powerwave / 7766.00,United States,
157,609/BBPPT/IV/09,2009-04-20,2009-04-22,605,PT. Brother International Sales Indonesia,Printer Multifungsi,Brother / MFC-990CW,China,
158,610/BBPPT/IV/09,2009-04-20,2009-04-22,463,PT. Halilintar Lintas Semesta,Antenna High Broadband Cross Polarized,Powerwave / 7745.00A,United States,
159,611/BBPPT/IV/09,2009-04-20,2009-04-22,398,PT. Chemcomas Handarnusa,Alien ALR-9900 Enterprise RFID Reader,ALIEN TECHNOLOHY / ALR-9900-ID,United States,
160,612/BBPPT/IV/09,2009-04-20,2009-04-22,467,PT. Khatulistiwa Jayasakti Abadi,Wireless Modem ADSL,AZTECH / DSL605EW,China,
161,613/BBPPT/IV/09,2009-04-20,2009-04-22,592,PT. Mark Empat Indonesia,Antenna Microwave,SAF Tehnik AS / TYWTG06-71D (7 GHz),China,
162,614/BBPPT/IV/09,2009-04-20,2009-04-22,487,CV. Royalindo Tektama,Bluetooth,ROYAL / Fini-Slimline,China,
163,615/BBPPT/IV/09,2009-04-20,2009-04-22,488,CV. Royalindo Tektama,Bluetooth,ROYAL / KV-818,China,
164,616/BBPPT/IV/09,2009-04-20,2009-04-22,495,Kenwood Corporation,CD Receiver with Bluetooth,KENWOOD / KDC-BT7043U,Malaysia,
165,617/BBPPT/IV/09,2009-04-20,2009-04-22,512,PT. Axindo Infotama,Bluetooth Headset,Jabra / BT2040,China,
166,618/BBPPT/IV/09,2009-04-20,2009-04-22,513,PT. Axindo Infotama,Bluetooth Headset,Jabra / BT2050,China,
167,619/BBPPT/IV/09,2009-04-20,2009-04-22,514,PT. Axindo Infotama,Bluetooth Headset,Jabra / BT8040,China,
168,620/BBPPT/IV/09,2009-04-20,2009-04-22,572,PT. LG Electronics Indonesia,Mobile Phone,LG / KM335,China,
169,621/BBPPT/IV/09,2009-04-20,2009-04-22,577,PT. Naga Mas Kreasi Mandiri,Cellular Phone,K-TOUCH / V320 (GSM900/1800 MHz),China,
170,622/BBPPT/IV/09,2009-04-20,2009-04-22,578,PT. Procell Indonesia,Telepon Selular GSM-GSM,Beyond / B 670 (SL-19),China,
171,623/BBPPT/IV/09,2009-04-20,2009-04-22,579,PT. Procell Indonesia,Telepon Selular GSM-GSM,Beyond / B 71 (SL-83),China,
172,624/BBPPT/IV/09,2009-04-20,2009-04-22,580,PT. Madya Utama Expresindo,Telepon Selular,"G - VON 350 / G - VON 350, Dualband (GSM-GSM900/1800 MHz)",China,
173,625/BBPPT/IV/09,2009-04-20,2009-04-22,595,PT. ZTE Indonesia,Handset GSM,ZTE / A136+,China,
174,626/BBPPT/IV/09,2009-04-23,2009-04-24,321,PT. Metaplas Harmoni,Radio STM-1,"Comba / ML GS,7 GHz",China,
175,627/BBPPT/IV/09,2009-04-23,2009-04-24,395,Juniper Networks Inc,Ethernet Switch,Juniper Networks / EX4200-24T,China,
176,628/BBPPT/IV/09,2009-04-23,2009-04-24,426,PT. Global Trading,INMARSAT MINI C GMDSS & SSAS,THRANE & THRANE / TT-3000E,Denmark,
177,629/BBPPT/IV/09,2009-04-23,2009-04-24,427,PT. Global Trading,MF/HF Radio Equipment (GMDSS),SAMYUNG ENC / SRG-1250DN,"Korea, Republic Of",
178,630/BBPPT/IV/09,2009-04-23,2009-04-24,481,PT. Mark Empat Indonesia,Radio Digital Microwave,SAF Tehnika AS / CFM (13 Ghz),LATVIA,
179,631/BBPPT/IV/09,2009-04-23,2009-04-24,496,PT. Cisco Systems Indonesia,Dual-Band Wireless-N Gigabit Router,Linksys / WRT320N,China,
180,632/BBPPT/IV/09,2009-04-23,2009-04-24,498,PT. NEC Indonesia,Radio Microwave,NEC / Pasolink NEO/a Frekuensi 7 GHz,Japan,
181,633/BBPPT/IV/09,2009-04-23,2009-04-24,306,PT. Infokom Internusa,Converter,LOOP Telecom / IP 6100,Taiwan,
182,634/BBPPT/IV/09,2009-04-23,2009-04-24,466,PT. Khatulistiwa Jayasakti Abadi,Modem Router Wireless,SAPIDO / GR-110,Taiwan,
183,635/BBPPT/IV/09,2009-04-23,2009-04-24,543,Logitech Far East Ltd.,Cordless Mouse,Logitech / M-R0005,Taiwan,
184,636/BBPPT/IV/09,2009-04-23,2009-04-24,569,PT. Nexco Jaya,Handphone,D'fone / Baby,China,
185,637/BBPPT/IV/09,2009-04-23,2009-04-24,596,PT. Motorola Indonesia,Handphone,Motorola / Motorola EM 20 GSM 850/900/1800/1900,China,
186,638/BBPPT/IV/09,2009-04-23,2009-04-24,599,PT. Samsung Electronics Indonesia,Handphone,Samsung / Samsung GSM Type E2100 (GSM900/1800 MHz/WCDMA900/2100 MHz),China,
187,639/BBPPT/IV/09,2009-04-23,2009-04-24,600,PT. Teletama Artha Mandiri,Handphone,SAMSUNG / E250i (GSM900/1800 MHz),China,
188,640/BBPPT/IV/09,2009-04-23,2009-04-24,623,PT. Transavia Otomasi Pratama,Modem (Wireless),RadioLinx / RLX-FHES,United States,
189,641/BBPPT/IV/09,2009-04-23,2009-04-24,396,Juniper Networks Inc,Ethernet Switch,Juniper Networks / EX4200-24F,China,
190,642/BBPPT/IV/09,2009-04-24,2009-04-28,420,PT. Freeport Indonesia,Radio Telemetry,TAIT / TM8105 (Freq. 136 - 174 MHz),NEW ZEALAND,
191,643/BBPPT/IV/09,2009-04-24,2009-04-28,575,"Atheros Communications, Inc",802.11n 2X2 Minicard,Atheros / AR5BDT92,United States,
192,644/BBPPT/IV/09,2009-04-24,2009-04-28,639,PT. Prolink Intidata Nusantara,Wireless-N Mini USB Adapter,PROLINK / WN2000,Taiwan,
193,645/BBPPT/IV/09,2009-04-27,2009-04-28,597,Broadcom Corporation,Broadcom 802.11b/g Draft 802.11n WLAN PCI-E Mini Card,Broadcom / BCM943225HM,China,
194,646/BBPPT/IV/09,2009-04-27,2009-04-28,602,PT. Madya Utama Expresindo,Telepon Selular,"Vodastar / Vodastar V 300, Dualband Dual SIM (GSM-GSM850/900/1900 MHz)",China,
195,647/BBPPT/IV/09,2009-04-27,2009-04-28,603,PT. Dynatama Internusa,Handphone,TITAN / V87/Dual GSM/Triple Band/900/1800/1900 MHz,China,
196,648/BBPPT/IV/09,2009-04-27,2009-04-28,604,PT. Dynatama Internusa,Handphone,TITAN / V90/Dual GSM/Triple Band/900/1800/1900 MHz,China,
197,649/BBPPT/IV/09,2009-04-27,2009-04-28,624,PT. ZTE Indonesia,CDMA Fixed Wireless Phone,ZTE / WP832,China,
198,650/BBPPT/IV/09,2009-04-27,2009-04-28,625,PT. Huawei Tech Investment,CDMA 1X Mobile Phone,HUAWEI / C7100,China,
199,951/BBPPT/IV/09,2009-04-27,2009-04-28,630,"PT. Maju Express Indonesia,",Ponsel Dual GSM 900/1800 MHz,MITO / 217,China,
200,652/BBPPT/IV/09,2009-04-27,2009-04-28,626,PT. Huawei Tech Investment,CDMA 1X Mobile Phone,HUAWEI / C3100,China,
201,653/BBPPT/IV/09,2009-04-27,2009-04-28,627,PT. Huawei Tech Investment,UMTS Mobilt Handset,HUAWEI / U9100,China,
202,654/BBPPT/IV/09,2009-04-27,2009-04-28,656,PT. Cisco Systems Indonesia,Wireless Access Point,Cisco Systems / AIR-LAP1141N-E-K9,United States,
203,655/BBPPT/IV/09,2009-04-27,2009-04-29,402,PT. Lensa Grafita,Down Converter S Band,domo / DC-225265,United Kingdom,
204,656/BBPPT/IV/09,2009-04-27,2009-04-29,403,PT. Lensa Grafita,Digital Wireless Receiver,domo / SOL4RX,United Kingdom,
205,657/BBPPT/IV/09,2009-04-27,2009-04-29,404,PT. Lensa Grafita,Digital Wireless Transmitter,domo / SOL4TX-228255,United Kingdom,
206,658/BBPPT/IV/09,2009-04-27,2009-04-29,511,PT. Mark Empat Indonesia,Radio Digital Microwave,SAF Tehnika AS / CFM (7 Ghz),LATVIA,
207,659/BBPPT/IV/09,2009-04-27,2009-04-29,465,PT. Indonesia HYT Science & Technology,Two-Way Radio,"HYT / TC-6000U (5), Freq. 350 - 370 MHz",China,
208,660/BBPPT/IV/09,2009-04-28,2009-04-29,2334(2008),PT. Pacificom Global Sentosa,Pesawat Telepon Analog,SIEMENS / EUPOSET 5005,China,
209,661/BBPPT/IV/09,2009-04-28,2009-04-29,444,PT. Sog Indonesia,Satellite Terminal,Skywave / DMR-800LRIT,Singapore,
210,662/BBPPT/IV/09,2009-04-28,2009-04-29,499,PT. NEC Indonesia,Radio Microwave,NEC / Pasolink NEO/a Frekuensi 15 GHz,Japan,
211,663/BBPPT/IV/09,2009-04-28,2009-04-29,646,Logitech Far East Ltd.,2.4GHz Transceiver,Logitech / C-UBD58,China,
212,664/BBPPT/IV/09,2009-04-28,2009-04-29,648,Logitech Far East Ltd.,Cordless Mouse,Logitech / M-RBY125,China,
213,665/BBPPT/IV/09,2009-04-28,2009-04-29,649,Logitech Far East Ltd.,Presenter,Logitech / R-R0001,China,
214,666/BBPPT/IV/09,2009-04-28,2009-04-29,651,Logitech Far East Ltd.,Dongle,Logitech / C-U0001,China,
215,667/BBPPT/IV/09,2009-04-28,2009-04-29,670,Mitsubishi Electric Himeji Corporation,Smart Keyless System,Mazda Motor Corporation / SKE11A-04,Japan,
216,668/BBPPT/IV/09,2009-04-28,2009-04-29,491,PT. Quasar Cakradaya Mandiri,Q-osk NET Basic 7,Q-osk NET Basic 7,Indonesia,
217,669/BBPPT/IV/09,2009-04-28,2009-04-29,502,PT. Aprillia Professional Technology,Low Noise Block Down Converter (LNB),"NORSAT / 8115F, Digital DRO C-band","Korea, Republic Of",
218,670/BBPPT/IV/09,2009-04-28,2009-04-29,518,PT. Aprillia Professional Technology,Low Noise Block Down Converter (LNB),"NORSAT / 3125F, PLL C-band",Japan,
219,671/BBPPT/IV/09,2009-04-28,2009-04-29,608,CV. Well Racom Nusantara,RADIO KOMUNIKASI,"KIRISUN / PT 3100, Frek. 136 - 174 Mhz",China,
220,672/BBPPT/IV/09,2009-04-28,2009-04-29,655,PT. Huawei Tech Investment,Base Station Antenna,ARGUS / NNPX412M-E1,China,
221,673/BBPPT/IV/09,2009-04-30,2009-04-30,470,PT. Madya Utama Expresindo,Telepon Selular,"G-Von 710 /G-Von 710, Triband (dual GSM900/1800/1900)",China,
222,674/BBPPT/IV/09,2009-04-30,2009-04-30,640,PT. Samsung Electronics Indonesia,Handphone,SAMSUNG / S5233 (GSM850/900/1800/1900 MHz),"Korea, Republic Of",
223,675/BBPPT/IV/09,2009-04-30,2009-04-30,642,PT. Madya Utama Expresindo,HandPhone,"GSTAR 388 / GSTAR 388, Dualband Dualband (GSM-GSM900/1800 MHz)",China,
224,676/BBPPT/IV/09,2009-04-30,2009-04-30,644,Sony Ericsson Mobile Communications AB (SEAB),Mobile Phone,SONY ERICSSON / W205 Dual-band GSM/GPRS 850/900/1800/1900/2100 MHz,China,
225,677/BBPPT/IV/09,2009-04-30,2009-04-30,652,"PT. Maju Express Indonesia,",Ponsel Dual GSM 900/1800 MHz,MITO / 302,China,
226,678/BBPPT/IV/09,2009-04-30,2009-04-30,653,"PT. Maju Express Indonesia,",Ponsel Dual GSM 900/1800 MHz,MITO / 301,China,
227,679/BBPPT/IV/09,2009-04-30,2009-04-30,654,"PT. Maju Express Indonesia,",Ponsel Dual GSM 900/1800 MHz,MITO / 220,China,
1,680/SPRHU/BBPPT/IV/09,2009-04-30,1-May-09,523,PT. Dataglobal Komukatama,Router,Allied Telesis / AT-AR440S,China,
2,681/SPRHU/BBPPT/IV/09,2009-04-30,1-May-09,524,PT. Dataglobal Komukatama,Router,Allied Telesis / AT-AR442S,China,
3,682/SPRHU/BBPPT/IV/09,2009-04-30,1-May-09,671,PT. Graha Eka Cipta,N + Wireless Router,BELKIN / F5D8235-4 V1,China,
4,683/SPRHU/BBPPT/IV/09,2009-04-30,1-May-09,672,PT. Graha Eka Cipta,N Wireless Router,BELKIN / F5D8236-4 V1,China,
5,684/SPRHU/BBPPT/IV/09,2009-04-30,1-May-09,673,PT. Graha Eka Cipta,N Wireless Modem Router,BELKIN / F5D8636-4 V1,China,
6,685/SPRHU/BBPPT/IV/09,2009-04-30,1-May-09,674,PT. Graha Eka Cipta,G Wireless Router,BELKIN / F5D7234-4 V1,China,
7,686/SPRHU/BBPPT/IV/09,2009-04-30,1-May-09,683,Seiko Epson Corporation,Multi Function Printer,EPSON / Epson Stylus Office TX510FN (C362B),Indonesia,
8,687/SPRHU/BBPPT/V/09,1-May-09,4-May-09,610,PT. Nokia Indonesia,Telepon Selular,NOKIA / 5530C-2 / RM-504 (GSM/EDGE 850/900/1800/1900),China,
9,688/SPRHU/BBPPT/V/09,4-May-09,4-May-09,557,Foxconn,Bluetooth Module,Foxconn / J27H007,Taiwan,
10,689/SPRHU/BBPPT/V/09,4-May-09,4-May-09,559,Foxconn,Wireless Module,Foxconn / J27H010,Taiwan,
11,690/SPRHU/BBPPT/V/09,4-May-09,5-May-09,480,PT. Inti Jatam Pura,Transceiver Satelit,CENTRILIFT / C903590,United States,
12,691/SPRHU/BBPPT/V/09,4-May-09,5-May-09,538,PT. Vertex Teknologi Indonesia,Router WiFi 3G,TOPEX / TOPEX Bytton HSDPA,Romania,
13,692/SPRHU/BBPPT/V/09,4-May-09,5-May-09,558,Foxconn,Bluetooth Module,Foxconn / J27H002,Taiwan,
14,693/SPRHU/BBPPT/V/09,5-May-09,7-May-09,449,PT. Autojaya Idetech,Mobile Printer,Zebra Technologies / RW 220,United States,
